"编号","开始答题时间","结束答题时间","答题时长","地理位置国家和地区","地理位置省","地理位置市","用户类型","用户标识","昵称","自定义字段","1.您的性别","2.你是否有制定学习计划的习惯？","3.你是否有课前预习的习惯？","4.在课上，你是否能认真记好笔记？","5.上课时，你是否能积极回答问题？","6.有不明白的问题，你是否及时向老师提问？","7.你是否有课下复习的习惯？","8.你是否能认真完成作业？","9.你是否能够及时改正错题？","10.你的学习成绩在年纪的排名是否达到前70%？",
"56","29-Jul-2020 19:33:32","29-Jul-2020 19:35:42","130","中国","天津市","天津市","","19106084241718","","","1","2","2","1","1","1","2","1","2","1",
"55","29-Jul-2020 18:17:36","29-Jul-2020 18:19:06","90","中国","天津市","天津市","","19106084240773","","","2","1","2","1","1","1","2","1","1","1",
"54","29-Jul-2020 11:57:46","29-Jul-2020 11:58:45","59","中国","天津市","天津市","","19106084235014","","","2","1","1","1","1","1","2","1","1","1",
"53","29-Jul-2020 08:41:29","29-Jul-2020 08:43:19","110","中国","天津市","天津市","QQ","995017081","","","1","1","1","1","2","2","1","1","1","1",
"52","29-Jul-2020 08:39:34","29-Jul-2020 08:41:02","88","中国","天津市","天津市","","19106084232434","","","1","1","1","2","1","2","2","2","1","1",
"51","29-Jul-2020 08:28:25","29-Jul-2020 08:29:45","80","中国","天津市","天津市","","19106084232335","","","2","1","2","1","2","1","2","1","1","1",
"50","29-Jul-2020 08:16:30","29-Jul-2020 08:17:47","77","中国","天津市","天津市","","19106084232209","","","2","2","2","2","2","2","2","2","1","1",
"49","29-Jul-2020 01:22:27","29-Jul-2020 01:23:29","62","中国","天津市","天津市","","19106084230925","","","1","1","1","1","1","2","2","1","2","1",
"48","28-Jul-2020 22:18:12","28-Jul-2020 22:20:16","124","中国","山东省","","QQ","2077844826","","","2","2","2","1","1","1","2","1","1","1",
"47","28-Jul-2020 21:56:24","28-Jul-2020 21:57:14","50","中国","天津市","天津市","QQ","2710300398","","","1","1","2","1","1","1","2","1","1","1",
"46","28-Jul-2020 20:23:01","28-Jul-2020 20:24:59","118","中国","天津市","天津市","","19106084227734","","","1","2","1","1","1","2","1","1","1","1",
"45","28-Jul-2020 18:58:13","28-Jul-2020 18:59:46","93","中国","天津市","天津市","","19106084226500","","","2","1","1","1","2","2","2","1","1","1",
"44","28-Jul-2020 18:51:16","28-Jul-2020 18:53:08","112","中国","天津市","天津市","QQ","2531535935","","","1","1","2","2","1","2","2","1","1","1",
"43","28-Jul-2020 18:50:09","28-Jul-2020 18:51:08","59","中国","天津市","天津市","","19106084226401","","","1","1","1","1","1","2","2","2","1","2",
"42","28-Jul-2020 17:57:32","28-Jul-2020 17:58:24","52","中国","天津市","天津市","QQ","2030742493","","","2","1","1","1","2","2","1","1","1","1",
"41","28-Jul-2020 17:52:33","28-Jul-2020 17:55:04","151","中国","天津市","天津市","","19106084225613","","","1","1","1","1","1","1","2","1","1","1",
"40","28-Jul-2020 17:30:05","28-Jul-2020 17:31:21","76","中国","天津市","天津市","","19106084225311","","","2","2","1","1","2","2","2","2","1","1",
